aberation           -> aberration
cacuses             -> caucuses
cahracters          -> characters
calaber             -> caliber
calander            -> calendar
calculater          -> calculator
calculs             -> calculus
calenders           -> calendars
caligraphy          -> calligraphy
caluclate           -> calculate
caluculate          -> calculate
calulate            -> calculate
camoflage           -> camouflage
campagin            -> campaign
campain             -> campaign
candadate           -> candidate
candiate            -> candidate
candidiate          -> candidate
cannister           -> canister
cannnot             -> cannot
cannonical          -> canonical
cannotation         -> connotation
caost               -> coast
caperbility         -> capability
capible             -> capable
captial             -> capital
captued             -> captured
capturd             -> captured
carachter           -> character
caracterized        -> characterized
carefull            -> careful
careing             -> caring
carismatic          -> charismatic
carnege             -> carnage
carnige             -> carnage
carreer             -> career
carrers             -> careers
carryng             -> carrying
cartdridge          -> cartridge
carthographer       -> cartographer
cartilege           -> cartilage
cartilidge          -> cartilage
cartrige            -> cartridge
casette             -> cassette
cassawory           -> cassowary
cassowarry          -> cassowary
:casue              -> cause
casuing             -> causing
casulaties          -> casualties
casulaty            -> casualty
catagories          -> categories
catagorized         -> categorized
catagory            -> category
catapillar          -> caterpillar
catapiller          -> caterpillar
catepillar          -> caterpillar
catergorize         -> categorize
caterpilar          -> caterpillar
caterpiller         -> caterpillar
cathlic             -> catholic
catholocism         -> catholicism
catterpilar         -> caterpillar
catterpillar        -> caterpillar
cattleship          -> battleship
causalities         -> casualties
cellpading          -> cellpadding
cementary           -> cemetery
cemetarey           -> cemetery
cemetaries          -> cemeteries
cemetary            -> cemetery
cencus              -> census
cententenial        -> centennial
centruies           -> centuries
centruy             -> century
centuties           -> centuries
centuty             -> century
ceratin             -> certain
cerimonial          -> ceremonial
cerimonies          -> ceremonies
cerimonious         -> ceremonious
cerimony            -> ceremony
ceromony            -> ceremony
certaintly          -> certainly
certainity          -> certainty
certian             -> certain
cervial             -> cervical
chalenging          -> challenging
challange           -> challenge
challege            -> challenge
changable           -> changeable
charachter          -> character
charactersistic     -> characteristic
charactor           -> character
charasmatic         -> charismatic
charaterized        -> characterized
chariman            -> chairman
charistics          -> characteristics
chasr               -> chaser
cheif               -> chief
chekc               -> check
chemcial            -> chemical
chemestry           -> chemistry
chemicaly           -> chemically
childbird           -> childbirth
childen             -> children
chnage              -> change
choclate            -> chocolate
choosen             -> chosen
:choses             -> chooses
chracter            -> character
chuch               -> church
churchs             -> churches
circulaton          -> circulation
circut              -> circuit
ciricuit            -> circuit
ciriculum           -> curriculum
civillian           -> civilian
claer               -> clear
claimes             -> claims
cleareance          -> clearance
clincial            -> clinical
clinicaly           -> clinically
cmoputer            -> computer
coctail             -> cocktail
coform              -> conform
cognizent           -> cognizant
coincedentally      -> coincidentally
colaborations       -> collaborations
colateral           -> collateral
colelctive          -> collective
collaberative       -> collaborative
collecton           -> collection
collegue            -> colleague
collonade           -> colonnade
collonies           -> colonies
collony             -> colony
collosal            -> colossal
colonizators        -> colonizers
comander            -> commander
comando             -> commando
comany              -> company
comapany            -> company
comapny             -> company
comback             -> comeback
combanations        -> combinations
combinatins         -> combinations
combusion           -> combustion
comdemnation        -> condemnation
comemmorates        -> commemorates
comemoretion        -> commemoration
comision            -> commission
comission           -> commission
comited             -> committed
comiting            -> committing
comitted            -> committed
comittee            -> committee
comitting           -> committing
commandoes          -> commandos
commedic            -> comedic
commemerative       -> commemorative
commemmorate        -> commemorate
commemmorating      -> commemorating
commerical          -> commercial
commericial         -> commercial
commerorative       -> commemorative
comming:            -> coming
comminication       -> communication
commision           -> commission
commited            -> committed
commitee            -> committee
commiting           -> committing
committment         -> commitment
commmemorated       -> commemorated
commongly           -> commonly
commonweath         -> commonwealth
commuications       -> communications
commuinications     -> communications
communciation       -> communication
communiation        -> communication
communites          -> communities
compability         -> compatibility
comparision         -> comparison
comparitive         -> comparative
compatabilities     -> compatibilities
compatability       -> compatibility
compatable          -> compatible
compatablities      -> compatibilities
compatablity        -> compatibility
compatiable         -> compatible
compatiblities      -> compatibilities
compatiblity        -> compatibility
compeitions         -> competitions
compensantion       -> compensation
competance          -> competence
competant           -> competent
competative         -> competitive
competion           -> competition
competitiion        -> competition
competive           -> competitive
comphrehensive      -> comprehensive
compitent           -> competent
completedthe        -> completed the
completelyl         -> completely
completetion        -> completion
complier            -> compiler
componant           -> component
comprable           -> comparable
comprimise          -> compromise
compulsary          -> compulsory
compulsery          -> compulsory
computarized        -> computerized
concensus           -> consensus
concider            -> consider
concieted           -> conceited
concieved           -> conceived
concious            -> conscious
condamned           -> condemned
condemmed           -> condemned
condidtion          -> condition
conditionsof        -> conditions of
conected            -> connected
conection           -> connection
conesencus          -> consensus
confidental         -> confidential
confids             -> confides
configureable       -> configurable
confortable         -> comfortable
congradulations     -> congratulations
congresional        -> congressional
conived             -> connived
conjecutre          -> conjecture
conjuction          -> conjunction
conotations         -> connotations
conquerd            -> conquered
conquerer           -> conqueror
conqured            -> conquered
conscent            -> consent
consciouness        -> consciousness
consdider           -> consider
consdiered          -> considered
consectutive        -> consecutive
consenquently       -> consequently
consentrate         -> concentrate
consept             -> concept
consequentually     -> consequently
consequeseces       -> consequences
consern             -> concern
conservitive        -> conservative
consiciousness      -> consciousness
consicousness       -> consciousness
considerd           -> considered
consideres          -> considered
consious            -> conscious
consistant          -> consistent
consituencies       -> constituencies
consituency         -> constituency
consituted          -> constituted
consitution         -> constitution
consolodate         -> consolidate
consonent           -> consonant
consorcium          -> consortium
conspiracys         -> conspiracies
conspiriator        -> conspirator
constaints          -> constraints
constanly           -> constantly
constarnation       -> consternation
constatn            -> constant
constinually        -> continually
constituant         -> constituent
constituion         -> constitution
consttruction       -> construction
constuction         -> construction
contstruction       -> construction
consulant           -> consultant
consumate           -> consummate
contaiminate        -> contaminate
containes           -> contains
contamporaries      -> contemporaries
contamporary        -> contemporary
contempoary         -> contemporary
contemporaneus      -> contemporaneous
contempory          -> contemporary
contendor           -> contender
contian             -> contain
contibute           -> contribute
contigent           -> contingent
contined            -> continued
continential        -> continental
continous           -> continuous
continueing         -> continuing
contravercial       -> controversial
contraversy         -> controversy
contributer         -> contributor
contritutions       -> contributions
controled           -> controlled
controll            -> control
controvercial       -> controversial
controvercy         -> controversy
controveries        -> controversies
controversal        -> controversial
controversey        -> controversy
controvertial       -> controversial
controvery          -> controversy
contruction         -> construction
conveinent          -> convenient
convenant           -> covenant
convential          -> conventional
convertable         -> convertible
convertion          -> conversion
conviced            -> convinced
convienient         -> convenient
coordiantion        -> coordination
coorperation        -> cooperation
copmetitors         -> competitors
coputer             -> computer
copywrite:          -> copyright
coridal             -> cordial
cornmitted          -> committed
corosion            -> corrosion
corparate           -> corporate
corperations        -> corporations
correcters          -> correctors
correponding        -> corresponding
correposding        -> corresponding
correspondant       -> correspondent
corridoors          -> corridors
corrispond          -> correspond
costitution         -> constitution
coucil              -> council
coudl               -> could
councellor          -> councillor
counries            -> countries
countains           -> contains
countires           -> countries
coururier           -> courier
coverted            -> converted
creaeted            -> created
creedence           -> credence
critereon           -> criterion
criterias           -> criteria
criticists          -> critics
critising           -> criticising
critisising         -> criticising
critisism           -> criticism
critisize           -> criticise
critizing           -> criticizing
crockodiles         -> crocodiles
crowm               -> crown
crtical             -> critical
crticised           -> criticised
crucifiction        -> crucifixion
crusies             -> cruises
crutial             -> crucial
crystalisation      -> crystallisation
culiminating        -> culminating
cumulatative        -> cumulative
curch               -> church
curcuit             -> circuit
currenly            -> currently
curriculem          -> curriculum
cyclinder           -> cylinder
dacquiri            -> daiquiri
dalmation           -> dalmatian
damenor             -> demeanor
dammage             -> damage
daugher             -> daughter
debateable          -> debatable
decendant           -> descendant
decendent           -> descendant
decideable          -> decidable
decidely            -> decidedly
decieved            -> deceived
decison             -> decision
decress             -> decrees
decribe             -> describe
decribing           -> describing
dectect             -> detect
defendent           -> defendant
deffensively        -> defensively
deffine             -> define
definance           -> defiance
definate            -> definite
definatly           -> definitely
definetly           -> definitely
definining          -> defining
definitly           -> definitely
definiton           -> definition
defintion           -> definition
degrate             -> degrade
delagates           -> delegates
delapidated         -> dilapidated
delerious           -> delirious
delevopment         -> development
deliberatly         -> deliberately
delusionally        -> delusively
demenor             -> demeanor
demographical       -> demographic
demolision          -> demolition
demorcracy          -> democracy
demostration        -> demonstration
denegrating         -> denigrating
densly              -> densely
deparment           -> department
dependance          -> dependence
dependancy          -> dependency
deram               -> dream
deriviated          -> derived
derivitive          -> derivative
derogitory          -> derogatory
descendands         -> descendants
descibed            -> described
descision           -> decision
descriibes          -> describes
descripters         -> descriptors
descripton          -> description
desctruction        -> destruction
descuss             -> discuss
desgined            -> designed
deside              -> decide
desigining          -> designing
desinations         -> destinations
desintegrated       -> disintegrated
desintegration      -> disintegration
desireable          -> desirable
desitned            -> destined
desktiop            -> desktop
desorder            -> disorder
desoriented         -> disoriented
desparate           -> desperate
despict             -> depict
despiration         -> desperation
dessicated          -> desiccated
dessigned           -> designed
destablized         -> destabilized
destory             -> destroy
detailled           -> detailed
detatched           -> detached
deteoriated         -> deteriorated
deteriate           -> deteriorate
deterioriating      -> deteriorating
determinining       -> determining
detremental         -> detrimental
devasted            -> devastated
develope            -> develop
developped          -> developed
develpment          -> development
devels              -> delves
devestated          -> devastated
devestating         -> devastating
devide              -> divide
devistating         -> devastating
devolopement        -> development
diablical           -> diabolical
diamons             -> diamonds
diaster             -> disaster
dichtomy            -> dichotomy
diconnects          -> disconnects
dicover             -> discover
dictionarys         -> dictionaries
dicussed            -> discussed
dieing              -> dyeing
dieties             -> deities
diety               -> deity
diferent            -> different
diferrent           -> different
differentiatiations -> differentiations
differnt            -> different
difficulity         -> difficulty
diffrent            -> different
dificulties         -> difficulties
dificulty           -> difficulty
dimenions           -> dimensions
dimention           -> dimension
dimesnional         -> dimensional
diminuitive         -> diminutive
dimunitive          -> diminutive
diosese             -> diocese
diphtong            -> diphthong
diplomancy          -> diplomacy
dipthong            -> diphthong
directoty           -> directory
dirived             -> derived
disagreeed          -> disagreed
disapeared          -> disappeared
disapointing        -> disappointing
disappearred        -> disappeared
disasterous         -> disastrous
disatisfaction      -> dissatisfaction
disatisfied         -> dissatisfied
disatrous           -> disastrous
discontentment      -> discontent
discribe            -> describe
discribing          -> describing
disctinction        -> distinction
disctinctive        -> distinctive
disemination        -> dissemination
disenchanged        -> disenchanted
disiplined          -> disciplined
disolved            -> dissolved
disover             -> discover
dispair             -> despair
disparingly         -> disparagingly
dispence            -> dispense
dispencing          -> dispensing
dispicable          -> despicable
dispite             -> despite
disproportiate      -> disproportionate
disputandem         -> disputandum
disricts            -> districts
dissagreement       -> disagreement
dissapear           -> disappear
dissappear          -> disappear
dissappointed       -> disappointed
dissarray           -> disarray
dissobedience       -> disobedience
dissobedient        -> disobedient
distiction          -> distinction
distingish          -> distinguish
distingquished      -> distinguished
distrubution        -> distribution
distruction         -> destruction
distructive         -> destructive
ditributed          -> distributed
diversed            -> diverse
divice              -> device
divinition          -> divination
divison             -> division
doccument           -> document
docrines            -> doctrines
doctines            -> doctrines
documenatry         -> documentary
doens               -> does
doign               -> doing
dominaton           -> domination
dominent            -> dominant
dominiant           -> dominant
donig               -> doing
doulbe              -> double
dowloads            -> downloads
dramtic             -> dramatic
draughtman          -> draughtsman
dreasm              -> dreams
driectly            -> directly
drnik               -> drink
druming             -> drumming
drummless           -> drumless
dupicate            -> duplicate
durig               -> during
durring             -> during
duting              -> during
ealier              -> earlier
earnt               -> earned
ecclectic           -> eclectic
eceonomy            -> economy
ecidious            -> deciduous
eclispe             -> eclipse
ecomonic            -> economic
econoimic           -> economic
eearly              -> early
effeciency          -> efficiency
effecient           -> efficient
efficency           -> efficiency
efficent            -> efficient
efford              -> effort
effulence           -> effluence
eigth:              -> eighth
eiter               -> either
elasped             -> elapsed
elction             -> election
electic             -> electric
electon             -> election
electrial           -> electrical
electricly          -> electrically
electricty          -> electricity
elementay           -> elementary
eleminated          -> eliminated
eleminating         -> eliminating
eletricity          -> electricity
elicided            -> elicited
eligable            -> eligible
elimentary          -> elementary
ellected            -> elected
elphant             -> elephant
embarass            -> embarrass
embargos            -> embargoes
embezelled          -> embezzled
emblamatic          -> emblematic
emision             -> emission
emited              -> emitted
emiting             -> emitting
emition             -> emission
emmediately         -> immediately
emmigrated          -> emigrated
emminent            -> eminent
emmisaries          -> emissaries
emmisarries         -> emissaries
emmisarry           -> emissary
emmisary            -> emissary
emmision            -> emission
emmited             -> emitted
emmiting            -> emitting
emmitted            -> emitted
emmitting           -> emitting
emnity              -> enmity
emperical           -> empirical
emphaised           -> emphasised
emphsis             -> emphasis
emphysyma           -> emphysema
empirial            -> imperial
emporer             -> emperor
emprisoned          -> imprisoned
enameld             -> enameled
enchancement        -> enhancement
encouraing          -> encouraging
encryptiion         -> encryption
encylopedia         -> encyclopedia
endevors            -> endeavors
endevour            -> endeavour
endig               -> ending
endolithes          -> endoliths
enduce              -> induce
enforceing          -> enforcing
engagment           -> engagement
engeneer            -> engineer
engieneer           -> engineer
enlargment          -> enlargement
enourmous           -> enormous
ensconsed           -> ensconced
entaglements        -> entanglements
enteratinment       -> entertainment
enthusiatic         -> enthusiastic
entitity            -> entity
entitlied           -> entitled
entrepeneur         -> entrepreneur
enviorment          -> environment
enviornment         -> environment
enviroment          -> environment
envolutionary       -> evolutionary
envrionments        -> environments
epidsodes           -> episodes
epsiode             -> episode
equialent           -> equivalent
equalibrium         -> equilibrium
equelibrium         -> equilibrium
equilibium          -> equilibrium
equilibrum          -> equilibrium
equiped             -> equipped
equippment          -> equipment
equitorial          -> equatorial
equivelant          -> equivalent
equivelent          -> equivalent
equivilant          -> equivalent
equivilent          -> equivalent
equivlalent         -> equivalent
:erally             -> really
eratic              -> erratic
erested             -> arrested
errupted            -> erupted
esential            -> essential
esitmated           -> estimated
especialy           -> especially
essencial           -> essential
essense             -> essence
essentail           -> essential
essentialy          -> essentially
essentual           -> essential
essesital           -> essential
estabishes          -> establishes
establising         -> establishing
ethnocentricm       -> ethnocentrism
ethose              -> ethos
evenhtually         -> eventually
eventally           -> eventually
eventhough          -> even though
eventially          -> eventually
eventualy           -> eventually
everthing           -> everything
everytime           -> every time
everyting           -> everything
:eveyr              -> every
evidentally         -> evidently
exagerate           -> exaggerate
exagerating         -> exaggerating
exagerrate          -> exaggerate
exagerrating        -> exaggerating
examinated          -> examined
exampt              -> exempt
exapansion          -> expansion
excact              -> exact
excange             -> exchange
excecute            -> execute
excecuting          -> executing
excecution          -> execution
excedded            -> exceeded
excelent            -> excellent
excellance          -> excellence
excellant           -> excellent
excercise           -> exercise
exchanching         -> exchanging
excisted            -> existed
exculsivly          -> exclusively
execising           -> exercising
exection            -> execution
exectued            -> executed
exeedingly          -> exceedingly
exelent             -> excellent
exellent            -> excellent
exemple             -> example
exept               -> except
exerbate            -> exacerbate
exerciese           -> exercises
exerpt              -> excerpt
exersize            -> exercise
exerternal          -> external
exhalted            -> exalted
exhibtion           -> exhibition
exibition           -> exhibition
exicting            -> exciting
exinct              -> extinct
existance           -> existence
existant            -> existent
existince           -> existence
exliled             -> exiled
exludes             -> excludes
exmaple             -> example
exonorate           -> exonerate
exoskelaton         -> exoskeleton
expalin             -> explain
expatriot           -> expatriate
expeced             -> expected
expecially          -> especially
expeditonary        -> expeditionary
expeiments          -> experiments
experiance          -> experience
expiditions         -> expeditions
expierence          -> experience
explaination        -> explanation
explaning           -> explaining
explictly           -> explicitly
exploititive        -> exploitative
explotation         -> exploitation
expropiated         -> expropriated
expropiation        -> expropriation
exressed            -> expressed
extemely            -> extremely
extention           -> extension
extered             -> exerted
extermist           -> extremist
extint              -> extinct
extradiction        -> extradition
extravagent         -> extravagant
extrememly          -> extremely
extremeophile       -> extremophile
extremly            -> extremely
extrordinarily      -> extraordinarily
extrordinary        -> extraordinary
faciliate           -> facilitate
facilites           -> facilities
facillitate         -> facilitate
facinated           -> fascinated
facist              -> fascist
familes             -> families
familliar           -> familiar
fanatism            -> fanaticism
faught              -> fought
favoutrable         -> favourable
feasable            -> feasible
febuary             -> February
feburary            -> February
fedreally           -> federally
feild               -> field
femminist           -> feminist
feromone            -> pheromone
fertily             -> fertility
fianite             -> finite
fianlly             -> finally
ficticious          -> fictitious
fictious            -> fictitious
fiercly             -> fiercely
fiish               -> fish
filiament           -> filament
fimilies            -> families
finacial            -> financial
finaly              -> finally
financialy          -> financially
firend              -> friend
firts               -> first
fisionable          -> fissionable
fitler              -> filter
flamable            -> flammable
flawess             -> flawless
fleed               -> fled
florescent          -> fluorescent
flourescent         -> fluorescent
flourine            -> fluorine
fluorish            -> flourish
flourishment        -> flourishing
follwo              -> follow
folow:              -> follow
fomed               -> formed
fonetic             -> phonetic
fontrier            -> fontier
foootball           -> football
forbiden            -> forbidden
foreward            -> foreword
forfiet             -> forfeit
forhead             -> forehead
foriegn             -> foreign
formallize          -> formalize
formaly             -> formally
formelly            -> formerly
formidible          -> formidable
formost             -> foremost
forsaw              -> foresaw
forseeable          -> foreseeable
fortelling          -> foretelling
forunner            -> forerunner
foucs               -> focus
:foudn              -> found
fougth              -> fought
foundaries          -> foundries
foundary            -> foundry
fouth               -> fourth
foward              -> forward
frequecy            -> frequency
frequentily         -> frequently
fromed              -> formed
froniter            -> frontier
fucntion            -> function
fufill              -> fulfill
fulfiled            -> fulfilled
fullfill            -> fulfill
fundametal          -> fundamental
funguses            -> fungi
funtion             -> function
furuther            -> further
futher              -> further
galatic             -> galactic
gallaxies           -> galaxies
galvinized          -> galvanized
ganerate            -> generate
:gane:              -> game
:ganes:             -> games
ganster             -> gangster
garantee            -> guarantee
garnison            -> garrison
gaurantee           -> guarantee
:gaurd              -> guard
gaurentee           -> guarantee
geneological        -> genealogical
geneologies         -> genealogies
geneology           -> genealogy
generaly            -> generally
generatting         -> generating
genialia            -> genitalia
geographicial       -> geographical
